proteine,param,base,other,deviation,comparison,latex_formula
Myosine,beta,0.435,0.459,-5.486,noninf_beta,$[(0.435 - 0.459)/0.435] \times 100 = -5\%$
Myosine,sigma,0.244,0.241,1.226,noninf_beta,$[(0.244 - 0.241)/0.244] \times 100 = 1\%$
Myosine,sigma_alpha,0.291,0.289,0.654,noninf_beta,$[(0.291 - 0.289)/0.291] \times 100 = 1\%$
Myosine,beta,0.435,0.474,-9.048,beta_up_1,$[(0.435 - 0.474)/0.435] \times 100 = -9\%$
Myosine,beta,0.435,0.497,-14.299,beta_up_2,$[(0.435 - 0.497)/0.435] \times 100 = -14\%$
Myosine,beta,0.435,0.387,10.908,beta_down_1,$[(0.435 - 0.387)/0.435] \times 100 = 11\%$
Myosine,beta,0.435,0.353,18.886,beta_down_2,$[(0.435 - 0.353)/0.435] \times 100 = 19\%$
Myosine,beta,0.435,0.432,0.608,double_iter,$[(0.435 - 0.432)/0.435] \times 100 = 1\%$
Myosine,sigma,0.244,0.244,-0.014,double_iter,$[(0.244 - 0.244)/0.244] \times 100 = -0\%$
Myosine,sigma_alpha,0.291,0.284,2.338,double_iter,$[(0.291 - 0.284)/0.291] \times 100 = 2\%$
Ubiquitine,beta,-0.054,-0.055,-2.587,noninf_beta,$[(-0.054 - -0.055)/-0.054] \times 100 = -3\%$
Ubiquitine,sigma,0.214,0.210,1.663,noninf_beta,$[(0.214 - 0.210)/0.214] \times 100 = 2\%$
Ubiquitine,sigma_alpha,0.134,0.152,-13.070,noninf_beta,$[(0.134 - 0.152)/0.134] \times 100 = -13\%$
Ubiquitine,beta,-0.054,-0.022,60.094,beta_up_1,$[(-0.054 - -0.022)/-0.054] \times 100 = 60\%$
Ubiquitine,beta,-0.054,-0.003,94.674,beta_up_2,$[(-0.054 - -0.003)/-0.054] \times 100 = 95\%$
Ubiquitine,beta,-0.054,-0.076,-41.126,beta_down_1,$[(-0.054 - -0.076)/-0.054] \times 100 = -41\%$
Ubiquitine,beta,-0.054,-0.092,-69.739,beta_down_2,$[(-0.054 - -0.092)/-0.054] \times 100 = -70\%$
Ubiquitine,beta,-0.054,-0.048,10.713,double_iter,$[(-0.054 - -0.048)/-0.054] \times 100 = 11\%$
Ubiquitine,sigma,0.214,0.209,2.215,double_iter,$[(0.214 - 0.209)/0.214] \times 100 = 2\%$
Ubiquitine,sigma_alpha,0.134,0.149,-11.115,double_iter,$[(0.134 - 0.149)/0.134] \times 100 = -11\%$
P-p38,beta,-0.097,-0.096,1.576,noninf_beta,$[(-0.097 - -0.096)/-0.097] \times 100 = 2\%$
P-p38,sigma,0.067,0.068,-1.490,noninf_beta,$[(0.067 - 0.068)/0.067] \times 100 = -1\%$
P-p38,sigma_alpha,0.085,0.087,-2.072,noninf_beta,$[(0.085 - 0.087)/0.085] \times 100 = -2\%$
P-p38,beta,-0.097,-0.092,5.594,beta_up_1,$[(-0.097 - -0.092)/-0.097] \times 100 = 6\%$
P-p38,beta,-0.097,-0.091,6.990,beta_up_2,$[(-0.097 - -0.091)/-0.097] \times 100 = 7\%$
P-p38,beta,-0.097,-0.100,-2.334,beta_down_1,$[(-0.097 - -0.100)/-0.097] \times 100 = -2\%$
P-p38,beta,-0.097,-0.102,-4.630,beta_down_2,$[(-0.097 - -0.102)/-0.097] \times 100 = -5\%$
P-p38,beta,-0.097,-0.096,1.620,double_iter,$[(-0.097 - -0.096)/-0.097] \times 100 = 2\%$
P-p38,sigma,0.067,0.067,-0.575,double_iter,$[(0.067 - 0.067)/0.067] \times 100 = -1\%$
P-p38,sigma_alpha,0.085,0.087,-1.668,double_iter,$[(0.085 - 0.087)/0.085] \times 100 = -2\%$
P-AMPK,beta,0.139,0.142,-1.735,noninf_beta,$[(0.139 - 0.142)/0.139] \times 100 = -2\%$
P-AMPK,sigma,0.167,0.168,-0.537,noninf_beta,$[(0.167 - 0.168)/0.167] \times 100 = -1\%$
P-AMPK,sigma_alpha,0.139,0.142,-2.534,noninf_beta,$[(0.139 - 0.142)/0.139] \times 100 = -3\%$
P-AMPK,beta,0.139,0.157,-12.527,beta_up_1,$[(0.139 - 0.157)/0.139] \times 100 = -13\%$
P-AMPK,beta,0.139,0.168,-20.828,beta_up_2,$[(0.139 - 0.168)/0.139] \times 100 = -21\%$
P-AMPK,beta,0.139,0.119,14.496,beta_down_1,$[(0.139 - 0.119)/0.139] \times 100 = 14\%$
P-AMPK,beta,0.139,0.107,23.210,beta_down_2,$[(0.139 - 0.107)/0.139] \times 100 = 23\%$
P-AMPK,beta,0.139,0.137,1.497,double_iter,$[(0.139 - 0.137)/0.139] \times 100 = 1\%$
P-AMPK,sigma,0.167,0.168,-1.069,double_iter,$[(0.167 - 0.168)/0.167] \times 100 = -1\%$
P-AMPK,sigma_alpha,0.139,0.139,-0.350,double_iter,$[(0.139 - 0.139)/0.139] \times 100 = -0\%$
P-Akt,beta,0.042,0.041,3.142,noninf_beta,$[(0.042 - 0.041)/0.042] \times 100 = 3\%$
P-Akt,sigma,0.101,0.105,-3.830,noninf_beta,$[(0.101 - 0.105)/0.101] \times 100 = -4\%$
P-Akt,sigma_alpha,0.199,0.203,-1.977,noninf_beta,$[(0.199 - 0.203)/0.199] \times 100 = -2\%$
P-Akt,beta,0.042,0.052,-23.611,beta_up_1,$[(0.042 - 0.052)/0.042] \times 100 = -24\%$
P-Akt,beta,0.042,0.057,-33.471,beta_up_2,$[(0.042 - 0.057)/0.042] \times 100 = -33\%$
P-Akt,beta,0.042,0.032,24.616,beta_down_1,$[(0.042 - 0.032)/0.042] \times 100 = 25\%$
P-Akt,beta,0.042,0.028,34.637,beta_down_2,$[(0.042 - 0.028)/0.042] \times 100 = 35\%$
P-Akt,beta,0.042,0.041,3.760,double_iter,$[(0.042 - 0.041)/0.042] \times 100 = 4\%$
P-Akt,sigma,0.101,0.105,-3.821,double_iter,$[(0.101 - 0.105)/0.101] \times 100 = -4\%$
P-Akt,sigma_alpha,0.199,0.197,0.776,double_iter,$[(0.199 - 0.197)/0.199] \times 100 = 1\%$
P-4EBP1,beta,-0.053,-0.053,-0.526,noninf_beta,$[(-0.053 - -0.053)/-0.053] \times 100 = -1\%$
P-4EBP1,sigma,0.046,0.045,1.935,noninf_beta,$[(0.046 - 0.045)/0.046] \times 100 = 2\%$
P-4EBP1,sigma_alpha,0.036,0.036,-0.560,noninf_beta,$[(0.036 - 0.036)/0.036] \times 100 = -1\%$
P-4EBP1,beta,-0.053,-0.050,4.385,beta_up_1,$[(-0.053 - -0.050)/-0.053] \times 100 = 4\%$
P-4EBP1,beta,-0.053,-0.049,6.420,beta_up_2,$[(-0.053 - -0.049)/-0.053] \times 100 = 6\%$
P-4EBP1,beta,-0.053,-0.055,-3.251,beta_down_1,$[(-0.053 - -0.055)/-0.053] \times 100 = -3\%$
P-4EBP1,beta,-0.053,-0.054,-2.149,beta_down_2,$[(-0.053 - -0.054)/-0.053] \times 100 = -2\%$
P-4EBP1,beta,-0.053,-0.053,0.205,double_iter,$[(-0.053 - -0.053)/-0.053] \times 100 = 0\%$
P-4EBP1,sigma,0.046,0.045,2.061,double_iter,$[(0.046 - 0.045)/0.046] \times 100 = 2\%$
P-4EBP1,sigma_alpha,0.036,0.037,-3.051,double_iter,$[(0.036 - 0.037)/0.036] \times 100 = -3\%$
P-70s6k,beta,-0.158,-0.161,-1.500,noninf_beta,$[(-0.158 - -0.161)/-0.158] \times 100 = -2\%$
P-70s6k,sigma,0.085,0.085,0.281,noninf_beta,$[(0.085 - 0.085)/0.085] \times 100 = 0\%$
P-70s6k,sigma_alpha,0.165,0.167,-1.333,noninf_beta,$[(0.165 - 0.167)/0.165] \times 100 = -1\%$
P-70s6k,beta,-0.158,-0.154,2.881,beta_up_1,$[(-0.158 - -0.154)/-0.158] \times 100 = 3\%$
P-70s6k,beta,-0.158,-0.150,5.173,beta_up_2,$[(-0.158 - -0.150)/-0.158] \times 100 = 5\%$
P-70s6k,beta,-0.158,-0.166,-5.099,beta_down_1,$[(-0.158 - -0.166)/-0.158] \times 100 = -5\%$
P-70s6k,beta,-0.158,-0.170,-7.079,beta_down_2,$[(-0.158 - -0.170)/-0.158] \times 100 = -7\%$
P-70s6k,beta,-0.158,-0.160,-1.037,double_iter,$[(-0.158 - -0.160)/-0.158] \times 100 = -1\%$
