proteine,model,mean,sd,q2.5,q97.5
Myosine,base,0.435,0.133,0.142,0.678
Myosine,beta,0.459,0.140,0.175,0.738
Myosine,beta_up_1,0.474,0.135,0.204,0.739
Myosine,beta_up_2,0.497,0.135,0.238,0.774
Myosine,beta_down_1,0.387,0.146,0.051,0.635
Myosine,beta_down_2,0.353,0.166,-0.043,0.615
Ubiquitine,base,-0.054,0.108,-0.270,0.163
Ubiquitine,beta,-0.055,0.110,-0.278,0.159
Ubiquitine,beta_up_1,-0.022,0.111,-0.235,0.214
Ubiquitine,beta_up_2,-0.003,0.116,-0.221,0.240
Ubiquitine,beta_down_1,-0.076,0.110,-0.303,0.137
Ubiquitine,beta_down_2,-0.092,0.115,-0.340,0.120
P-p38,base,-0.097,0.038,-0.176,-0.019
P-p38,beta,-0.096,0.040,-0.173,-0.012
P-p38,beta_up_1,-0.092,0.040,-0.168,-0.007
P-p38,beta_up_2,-0.091,0.039,-0.166,-0.009
P-p38,beta_down_1,-0.100,0.039,-0.180,-0.025
P-p38,beta_down_2,-0.102,0.039,-0.181,-0.027
P-AMPK,base,0.139,0.090,-0.036,0.317
P-AMPK,beta,0.142,0.094,-0.044,0.327
P-AMPK,beta_up_1,0.157,0.089,-0.016,0.337
P-AMPK,beta_up_2,0.168,0.091,-0.002,0.357
P-AMPK,beta_down_1,0.119,0.089,-0.076,0.286
P-AMPK,beta_down_2,0.107,0.092,-0.092,0.272
P-Akt,base,0.042,0.061,-0.088,0.166
P-Akt,beta,0.041,0.067,-0.092,0.169
P-Akt,beta_up_1,0.052,0.063,-0.072,0.186
P-Akt,beta_up_2,0.057,0.064,-0.066,0.192
P-Akt,beta_down_1,0.032,0.065,-0.115,0.150
P-Akt,beta_down_2,0.028,0.065,-0.118,0.146
P-4EBP1,base,-0.053,0.025,-0.103,-0.003
P-4EBP1,beta,-0.053,0.025,-0.104,-0.004
P-4EBP1,beta_up_1,-0.050,0.024,-0.097,0.001
P-4EBP1,beta_up_2,-0.049,0.024,-0.098,0.001
P-4EBP1,beta_down_1,-0.055,0.025,-0.106,-0.007
P-4EBP1,beta_down_2,-0.054,0.024,-0.103,-0.007
P-70s6k,base,-0.158,0.051,-0.261,-0.052
P-70s6k,beta,-0.161,0.052,-0.271,-0.056
P-70s6k,beta_up_1,-0.154,0.053,-0.258,-0.042
P-70s6k,beta_up_2,-0.150,0.056,-0.256,-0.030
P-70s6k,beta_down_1,-0.166,0.052,-0.284,-0.066
P-70s6k,beta_down_2,-0.170,0.055,-0.287,-0.064
PGC1-alpha,base,-0.121,0.062,-0.245,-0.001
PGC1-alpha,beta,-0.120,0.062,-0.246,0.005
PGC1-alpha,beta_up_1,-0.110,0.064,-0.236,0.025
PGC1-alpha,beta_up_2,-0.108,0.063,-0.217,0.038
PGC1-alpha,beta_down_1,-0.128,0.061,-0.263,-0.013
PGC1-alpha,beta_down_2,-0.135,0.062,-0.270,-0.018

